Flat_Name,Flat_Location,Flat_Price,Flat_image_url
 2+kt 43 m²,"Jankovská, Praha 4 - Krč",6350000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/UcOBgcw.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 42 m²,"Drahobejlova, Praha 9 - Libeň",7210000,"https://d18-a.sdn.cz/d_18/c_img_gV_2/zpNSYf.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 159 m²,"U kombinátu, Praha 10 - Strašnice",17490000,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/lHwBgv8.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 135 m²,"Kobrova, Praha 5 - Smíchov",19950000,"https://d18-a.sdn.cz/d_18/c_img_QP_LN/wYB45Y.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 270 m²,"Popovičky - Nebřenice, district Praha-východ",1,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/IR7BThf.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 58 m²,"Rohanské nábřeží, Praha 8 - Karlín",12850000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/fz0BbXM.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 47 m²,"Arménská, Kladno - Kročehlavy",5446760,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/QUKBV1b.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 77 m²,"Vladislavova, Praha 1 - Nové Město",12500000,"https://d18-a.sdn.cz/d_18/c_img_QN_KB/EdeOi.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 118 m² (Mezonet),"Drahobejlova, Praha 9 - Libeň",19070000,"https://d18-a.sdn.cz/d_18/c_img_gV_2/z8HTS3.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 50 m²,"sídliště U Nádraží, Jindřichův Hradec - Jindřichův Hradec II",2400000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/ckPBb7x.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 38 m²,"Vladimíra Kobranova, Praha",6984600,"https://d18-a.sdn.cz/d_18/c_img_QM_KL/rgvJc8.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 54 m²,"Vladimíra Kobranova, Praha",8690000,"https://d18-a.sdn.cz/d_18/c_img_gW_p/luHZPs.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 113 m²,"Vladimíra Kobranova, Praha",21388200,"https://d18-a.sdn.cz/d_18/c_img_QL_Jt/RtuqqI.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 56 m²,"Omlenice - Omlenička, district Český Krumlov",2280000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/uxcBDFU.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 81 m²,"Vojtěcha Lanny, Kladno",6950000,"https://d18-a.sdn.cz/d_18/c_img_gY_z/1yME7U.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 50 m²,Praha 5,6390000,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/zwZBlRO.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 59 m²,"Elektrárenská, Praha 10 - Michle",6690000,"https://d18-a.sdn.cz/d_18/c_img_gR_0/629V6n.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 89 m²,"U jezera, Praha 5 - Stodůlky",8290000,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/mE4Bjx8.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 52 m²,"Panelová, Ostrava - Poruba",2190000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/PQjK36.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 62 m²,"Kakosova, Praha 5 - Řeporyje",6750000,"https://d18-a.sdn.cz/d_18/c_img_QI_Jr/zOjD6g.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 150 m² (Mezonet),"B. Němcové, Hostivice",10490000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/Ly83fU.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
